Problem ID,Problem Name,Acceptance Rate,Difficulty,Topics
52,N-Queens II,74,Hard,Backtracking
53,Maximum Subarray,50.8,Medium,"Array, Divide and Conquer, Dynamic Programming"
54,Spiral Matrix,49.6,Medium,"Array, Matrix, Simulation"
55,Jump Game,38.5,Medium,"Array, Dynamic Programming, Greedy"
56,Merge Intervals,47.4,Medium,"Array, Sorting"
57,Insert Interval,41.6,Medium,Array
58,Length of Last Word,51.9,Easy,String
59,Spiral Matrix II,71.2,Medium,"Array, Matrix, Simulation"
60,Permutation Sequence,47.1,Hard,"Math, Recursion"
61,Rotate List,37.8,Medium,"Linked List, Two Pointers"
62,Unique Paths,64.4,Medium,"Math, Dynamic Programming, Combinatorics"
63,Unique Paths II,41.6,Medium,"Array, Dynamic Programming, Matrix"
64,Minimum Path Sum,64,Medium,"Array, Dynamic Programming, Matrix"
65,Valid Number,19.9,Hard,String
66,Plus One,45.4,Easy,"Array, Math"
67,Add Binary,53.6,Easy,"Math, String, Bit Manipulation, Simulation"
68,Text Justification,43.6,Hard,"Array, String, Simulation"
69,Sqrt(x),38.8,Easy,"Math, Binary Search"
70,Climbing Stairs,52.9,Easy,"Math, Dynamic Programming, Memoization"
71,Simplify Path,42.6,Medium,"String, Stack"
72,Edit Distance,56.5,Medium,"String, Dynamic Programming"
73,Set Matrix Zeroes,55.8,Medium,"Array, Hash Table, Matrix"
74,Search a 2D Matrix,50.2,Medium,"Array, Binary Search, Matrix"
75,Sort Colors,62.4,Medium,"Array, Two Pointers, Sorting"
76,Minimum Window Substring,43.1,Hard,"Hash Table, String, Sliding Window"
77,Combinations,70.5,Medium,Backtracking
78,Subsets,78.3,Medium,"Array, Backtracking, Bit Manipulation"
79,Word Search,42.9,Medium,"Array, Backtracking, Matrix"
80,Remove Duplicates from Sorted Array II,58.5,Medium,"Array, Two Pointers"
81,Search in Rotated Sorted Array II,37.7,Medium,"Array, Binary Search"
82,Remove Duplicates from Sorted List II,47.6,Medium,"Linked List, Two Pointers"
83,Remove Duplicates from Sorted List,52.6,Easy,Linked List
84,Largest Rectangle in Histogram,44.5,Hard,"Array, Stack, Monotonic Stack"
85,Maximal Rectangle,50.5,Hard,"Array, Dynamic Programming, Stack, Matrix, Monotonic Stack"
86,Partition List,56.4,Medium,"Linked List, Two Pointers"
87,Scramble String,40.2,Hard,"String, Dynamic Programming"
88,Merge Sorted Array,49.8,Easy,"Array, Two Pointers, Sorting"
89,Gray Code,59.3,Medium,"Math, Backtracking, Bit Manipulation"
90,Subsets II,57.4,Medium,"Array, Backtracking, Bit Manipulation"
91,Decode Ways,35,Medium,"String, Dynamic Programming"
92,Reverse Linked List II,47.7,Medium,Linked List
93,Restore IP Addresses,50.1,Medium,"String, Backtracking"
94,Binary Tree Inorder Traversal,76.2,Easy,"Stack, Tree, Depth-First Search, Binary Tree"
95,Unique Binary Search Trees II,57.8,Medium,"Dynamic Programming, Backtracking, Tree, Binary Search Tree, Binary Tree"
96,Unique Binary Search Trees,61.1,Medium,"Math, Dynamic Programming, Tree, Binary Search Tree, Binary Tree"
97,Interleaving String,40,Medium,"String, Dynamic Programming"
98,Validate Binary Search Tree,33,Medium,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
99,Recover Binary Search Tree,53.2,Medium,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
100,Same Tree,62.2,Easy,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
101,Symmetric Tree,56.6,Easy,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
102,Binary Tree Level Order Traversal,67.3,Medium,"Tree, Breadth-First Search, Binary Tree"
103,Binary Tree Zigzag Level Order Traversal,59,Medium,"Tree, Breadth-First Search, Binary Tree"
104,Maximum Depth of Binary Tree,75.4,Easy,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
105,Construct Binary Tree from Preorder and Inorder Traversal,64,Medium,"Array, Hash Table, Divide and Conquer, Tree, Binary Tree"
106,Construct Binary Tree from Inorder and Postorder Traversal,63,Medium,"Array, Hash Table, Divide and Conquer, Tree, Binary Tree"
107,Binary Tree Level Order Traversal II,63.5,Medium,"Tree, Breadth-First Search, Binary Tree"
108,Convert Sorted Array to Binary Search Tree,71.8,Easy,"Array, Divide and Conquer, Tree, Binary Search Tree, Binary Tree"
109,Convert Sorted List to Binary Search Tree,62,Medium,"Linked List, Divide and Conquer, Tree, Binary Search Tree, Binary Tree"
110,Balanced Binary Tree,52.2,Easy,"Tree, Depth-First Search, Binary Tree"
111,Minimum Depth of Binary Tree,48,Easy,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
112,Path Sum,50.5,Easy,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
113,Path Sum II,58.5,Medium,"Backtracking, Tree, Depth-First Search, Binary Tree"
114,Flatten Binary Tree to Linked List,65,Medium,"Linked List, Stack, Tree, Depth-First Search, Binary Tree"
115,Distinct Subsequences,47.1,Hard,"String, Dynamic Programming"
116,Populating Next Right Pointers in Each Node,62.8,Medium,"Linked List, Tree, Depth-First Search, Breadth-First Search, Binary Tree"
117,Populating Next Right Pointers in Each Node II,52.6,Medium,"Linked List, Tree, Depth-First Search, Breadth-First Search, Binary Tree"
118,Pascal's Triangle,74.4,Easy,"Array, Dynamic Programming"
119,Pascal's Triangle II,64.1,Easy,"Array, Dynamic Programming"
120,Triangle,56.7,Medium,"Array, Dynamic Programming"
121,Best Time to Buy and Sell Stock,53.7,Easy,"Array, Dynamic Programming"
122,Best Time to Buy and Sell Stock II,66.6,Medium,"Array, Dynamic Programming, Greedy"
123,Best Time to Buy and Sell Stock III,48.1,Hard,"Array, Dynamic Programming"
124,Binary Tree Maximum Path Sum,40.1,Hard,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
125,Valid Palindrome,47.6,Easy,"Two Pointers, String"
126,Word Ladder II,27.3,Hard,"Hash Table, String, Backtracking, Breadth-First Search"
127,Word Ladder,39.3,Hard,"Hash Table, String, Breadth-First Search"
128,Longest Consecutive Sequence,47.3,Medium,"Array, Hash Table, Union Find"
129,Sum Root to Leaf Numbers,65.9,Medium,"Tree, Depth-First Search, Binary Tree"
130,Surrounded Regions,39.6,Medium,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
131,Palindrome Partitioning,68.9,Medium,"String, Dynamic Programming, Backtracking"
132,Palindrome Partitioning II,34,Hard,"String, Dynamic Programming"
133,Clone Graph,57.5,Medium,"Hash Table, Depth-First Search, Breadth-First Search, Graph"
134,Gas Station,45.5,Medium,"Array, Greedy"
135,Candy,43.3,Hard,"Array, Greedy"
136,Single Number,73,Easy,"Array, Bit Manipulation"
137,Single Number II,62.7,Medium,"Array, Bit Manipulation"
138,Copy List with Random Pointer,56.3,Medium,"Hash Table, Linked List"
139,Word Break,46.8,Medium,"Hash Table, String, Dynamic Programming, Trie, Memoization"
140,Word Break II,48.2,Hard,"Hash Table, String, Dynamic Programming, Backtracking, Trie, Memoization"
141,Linked List Cycle,50.5,Easy,"Hash Table, Linked List, Two Pointers"
142,Linked List Cycle II,51.4,Medium,"Hash Table, Linked List, Two Pointers"
143,Reorder List,58.8,Medium,"Linked List, Two Pointers, Stack, Recursion"
144,Binary Tree Preorder Traversal,69.6,Easy,"Stack, Tree, Depth-First Search, Binary Tree"
145,Binary Tree Postorder Traversal,71.1,Easy,"Stack, Tree, Depth-First Search, Binary Tree"
146,LRU Cache,42.5,Medium,"Hash Table, Linked List, Design, Doubly-Linked List"
147,Insertion Sort List,53.7,Medium,"Linked List, Sorting"
148,Sort List,58.1,Medium,"Linked List, Two Pointers, Divide and Conquer, Sorting, Merge Sort"
149,Max Points on a Line,26.8,Hard,"Array, Hash Table, Math, Geometry"
150,Evaluate Reverse Polish Notation,51.6,Medium,"Array, Math, Stack"
151,Reverse Words in a String,42.7,Medium,"Two Pointers, String"
152,Maximum Product Subarray,35.1,Medium,"Array, Dynamic Programming"
153,Find Minimum in Rotated Sorted Array,50.4,Medium,"Array, Binary Search"
154,Find Minimum in Rotated Sorted Array II,43.7,Hard,"Array, Binary Search"
155,Min Stack,54.3,Medium,"Stack, Design"
156,Binary Tree Upside Down,62.8,Medium,"Tree, Depth-First Search, Binary Tree"
157,Read N Characters Given Read4,41.5,Easy,"String, Simulation, Interactive"
158,Read N Characters Given read4 II - Call Multiple Times,42.3,Hard,"String, Simulation, Interactive"
159,Longest Substring with At Most Two Distinct Characters,55.4,Medium,"Hash Table, String, Sliding Window"
160,Intersection of Two Linked Lists,57.6,Easy,"Hash Table, Linked List, Two Pointers"
161,One Edit Distance,34.3,Medium,"Two Pointers, String"
162,Find Peak Element,46,Medium,"Array, Binary Search"
163,Missing Ranges,33.8,Easy,Array
164,Maximum Gap,46.1,Medium,"Array, Sorting, Bucket Sort, Radix Sort"
165,Compare Version Numbers,40.7,Medium,"Two Pointers, String"
166,Fraction to Recurring Decimal,25.1,Medium,"Hash Table, Math, String"
167,Two Sum II - Input Array Is Sorted,61.4,Medium,"Array, Two Pointers, Binary Search"
168,Excel Sheet Column Title,40.7,Easy,"Math, String"
169,Majority Element,64.9,Easy,"Array, Hash Table, Divide and Conquer, Sorting, Counting"
170,Two Sum III - Data structure design,38.1,Easy,"Array, Hash Table, Two Pointers, Design, Data Stream"
171,Excel Sheet Column Number,63.8,Easy,"Math, String"
172,Factorial Trailing Zeroes,43.4,Medium,Math
173,Binary Search Tree Iterator,72.1,Medium,"Stack, Tree, Design, Binary Search Tree, Binary Tree, Iterator"
174,Dungeon Game,38.2,Hard,"Array, Dynamic Programming, Matrix"
175,Combine Two Tables,76,Easy,Database
176,Second Highest Salary,40.5,Medium,Database
177,Nth Highest Salary,38,Medium,Database
178,Rank Scores,62.4,Medium,Database
179,Largest Number,36.2,Medium,"String, Greedy, Sorting"
180,Consecutive Numbers,46.2,Medium,Database
181,Employees Earning More Than Their Managers,69.6,Easy,Database
182,Duplicate Emails,71.1,Easy,Database
183,Customers Who Never Order,69.2,Easy,Database
184,Department Highest Salary,51.8,Medium,Database
185,Department Top Three Salaries,53.4,Hard,Database
186,Reverse Words in a String II,54.7,Medium,"Two Pointers, String"
187,Repeated DNA Sequences,49,Medium,"Hash Table, String, Bit Manipulation, Sliding Window, Rolling Hash, Hash Function"
188,Best Time to Buy and Sell Stock IV,42.9,Hard,"Array, Dynamic Programming"
189,Rotate Array,40.6,Medium,"Array, Math, Two Pointers"
190,Reverse Bits,58.7,Easy,"Divide and Conquer, Bit Manipulation"
191,Number of 1 Bits,71.1,Easy,"Divide and Conquer, Bit Manipulation"
192,Word Frequency,25.8,Medium,Shell
193,Valid Phone Numbers,26,Easy,Shell
194,Transpose File,26.4,Medium,Shell
195,Tenth Line,33.4,Easy,Shell
196,Delete Duplicate Emails,62,Easy,Database
197,Rising Temperature,47.5,Easy,Database
198,House Robber,51,Medium,"Array, Dynamic Programming"
199,Binary Tree Right Side View,63.2,Medium,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
200,Number of Islands,59.6,Medium,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
201,Bitwise AND of Numbers Range,46.9,Medium,Bit Manipulation
202,Happy Number,56.2,Easy,"Hash Table, Math, Two Pointers"
203,Remove Linked List Elements,48.9,Easy,"Linked List, Recursion"
204,Count Primes,33.6,Medium,"Array, Math, Enumeration, Number Theory"
205,Isomorphic Strings,45.2,Easy,"Hash Table, String"
206,Reverse Linked List,76.6,Easy,"Linked List, Recursion"
207,Course Schedule,46.8,Medium,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
208,Implement Trie (Prefix Tree),65.3,Medium,"Hash Table, String, Design, Trie"
209,Minimum Size Subarray Sum,47.2,Medium,"Array, Binary Search, Sliding Window, Prefix Sum"
210,Course Schedule II,50.5,Medium,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
211,Design Add and Search Words Data Structure,45.3,Medium,"String, Depth-First Search, Design, Trie"
212,Word Search II,36.3,Hard,"Array, String, Backtracking, Trie, Matrix"
213,House Robber II,42,Medium,"Array, Dynamic Programming"
214,Shortest Palindrome,33.5,Hard,"String, Rolling Hash, String Matching, Hash Function"
215,Kth Largest Element in an Array,66.8,Medium,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
216,Combination Sum III,69.7,Medium,"Array, Backtracking"
217,Contains Duplicate,61.8,Easy,"Array, Hash Table, Sorting"
218,The Skyline Problem,42.7,Hard,"Array, Divide and Conquer, Binary Indexed Tree, Segment Tree, Line Sweep, Heap (Priority Queue), Ordered Set"
219,Contains Duplicate II,45.3,Easy,"Array, Hash Table, Sliding Window"
220,Contains Duplicate III,22.8,Hard,"Array, Sliding Window, Sorting, Bucket Sort, Ordered Set"
221,Maximal Square,46.6,Medium,"Array, Dynamic Programming, Matrix"
222,Count Complete Tree Nodes,65.4,Easy,"Binary Search, Tree, Depth-First Search, Binary Tree"
223,Rectangle Area,46.2,Medium,"Math, Geometry"
224,Basic Calculator,43.5,Hard,"Math, String, Stack, Recursion"
225,Implement Stack using Queues,63.8,Easy,"Stack, Design, Queue"
226,Invert Binary Tree,77.1,Easy,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
227,Basic Calculator II,43.7,Medium,"Math, String, Stack"
228,Summary Ranges,50.7,Easy,Array
229,Majority Element II,51.6,Medium,"Array, Hash Table, Sorting, Counting"
230,Kth Smallest Element in a BST,72.6,Medium,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
231,Power of Two,47.8,Easy,"Math, Bit Manipulation, Recursion"
232,Implement Queue using Stacks,66.3,Easy,"Stack, Design, Queue"
233,Number of Digit One,34.6,Hard,"Math, Dynamic Programming, Recursion"
234,Palindrome Linked List,53.3,Easy,"Linked List, Two Pointers, Stack, Recursion"
235,Lowest Common Ancestor of a Binary Search Tree,64.9,Medium,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
236,Lowest Common Ancestor of a Binary Tree,62.4,Medium,"Tree, Depth-First Search, Binary Tree"
237,Delete Node in a Linked List,79.8,Medium,Linked List
238,Product of Array Except Self,66.3,Medium,"Array, Prefix Sum"
239,Sliding Window Maximum,46.6,Hard,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
240,Search a 2D Matrix II,52.7,Medium,"Array, Binary Search, Divide and Conquer, Matrix"
241,Different Ways to Add Parentheses,65.5,Medium,"Math, String, Dynamic Programming, Recursion, Memoization"
242,Valid Anagram,64.6,Easy,"Hash Table, String, Sorting"
243,Shortest Word Distance,65.4,Easy,"Array, String"
244,Shortest Word Distance II,61.2,Medium,"Array, Hash Table, Two Pointers, String, Design"
245,Shortest Word Distance III,58.5,Medium,"Array, String"
246,Strobogrammatic Number,47.7,Easy,"Hash Table, Two Pointers, String"
247,Strobogrammatic Number II,52.4,Medium,"Array, String, Recursion"
248,Strobogrammatic Number III,42.1,Hard,"Array, String, Recursion"
249,Group Shifted Strings,65.7,Medium,"Array, Hash Table, String"
250,Count Univalue Subtrees,56.4,Medium,"Tree, Depth-First Search, Binary Tree"
251,Flatten 2D Vector,49.5,Medium,"Array, Two Pointers, Design, Iterator"
252,Meeting Rooms,58.1,Easy,"Array, Sorting"
253,Meeting Rooms II,51.3,Medium,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue)"
254,Factor Combinations,49.5,Medium,"Array, Backtracking"
255,Verify Preorder Sequence in Binary Search Tree,49.9,Medium,"Stack, Tree, Binary Search Tree, Recursion, Monotonic Stack, Binary Tree"
256,Paint House,62.5,Medium,"Array, Dynamic Programming"
257,Binary Tree Paths,63.8,Easy,"String, Backtracking, Tree, Depth-First Search, Binary Tree"
258,Add Digits,66.6,Easy,"Math, Simulation, Number Theory"
259,3Sum Smaller,50.8,Medium,"Array, Two Pointers, Binary Search, Sorting"
260,Single Number III,68.4,Medium,"Array, Bit Manipulation"
261,Graph Valid Tree,48.2,Medium,"Depth-First Search, Breadth-First Search, Union Find, Graph"
262,Trips and Users,36.4,Hard,Database
263,Ugly Number,41.9,Easy,Math
264,Ugly Number II,46.2,Medium,"Hash Table, Math, Dynamic Programming, Heap (Priority Queue)"
265,Paint House II,54.7,Hard,"Array, Dynamic Programming"
266,Palindrome Permutation,67.3,Easy,"Hash Table, String, Bit Manipulation"
267,Palindrome Permutation II,41.5,Medium,"Hash Table, String, Backtracking"
268,Missing Number,66.9,Easy,"Array, Hash Table, Math, Binary Search, Bit Manipulation, Sorting"
269,Alien Dictionary,35.8,Hard,"Array, String, Depth-First Search, Breadth-First Search, Graph, Topological Sort"
270,Closest Binary Search Tree Value,51.6,Easy,"Binary Search, Tree, Depth-First Search, Binary Search Tree, Binary Tree"
271,Encode and Decode Strings,46.7,Medium,"Array, String, Design"
272,Closest Binary Search Tree Value II,59.1,Hard,"Two Pointers, Stack, Tree, Depth-First Search, Binary Search Tree, Heap (Priority Queue), Binary Tree"
273,Integer to English Words,30.6,Hard,"Math, String, Recursion"
274,H-Index,39,Medium,"Array, Sorting, Counting Sort"
275,H-Index II,38.2,Medium,"Array, Binary Search"
276,Paint Fence,46.7,Medium,Dynamic Programming
277,Find the Celebrity,47.3,Medium,"Two Pointers, Greedy, Graph, Interactive"
278,First Bad Version,44.4,Easy,"Binary Search, Interactive"
279,Perfect Squares,54.8,Medium,"Math, Dynamic Programming, Breadth-First Search"
280,Wiggle Sort,67.7,Medium,"Array, Greedy, Sorting"
281,Zigzag Iterator,63.9,Medium,"Array, Design, Queue, Iterator"
282,Expression Add Operators,39.9,Hard,"Math, String, Backtracking"
283,Move Zeroes,61.8,Easy,"Array, Two Pointers"
284,Peeking Iterator,59.5,Medium,"Array, Design, Iterator"
285,Inorder Successor in BST,49.8,Medium,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
286,Walls and Gates,61.4,Medium,"Array, Breadth-First Search, Matrix"
287,Find the Duplicate Number,60.8,Medium,"Array, Two Pointers, Binary Search, Bit Manipulation"
288,Unique Word Abbreviation,26.3,Medium,"Array, Hash Table, String, Design"
289,Game of Life,69.2,Medium,"Array, Matrix, Simulation"
290,Word Pattern,42.1,Easy,"Hash Table, String"
291,Word Pattern II,47.9,Medium,"Hash Table, String, Backtracking"
292,Nim Game,56.9,Easy,"Math, Brainteaser, Game Theory"
293,Flip Game,64.6,Easy,String
294,Flip Game II,52.1,Medium,"Math, Dynamic Programming, Backtracking, Memoization, Game Theory"
295,Find Median from Data Stream,51.9,Hard,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
296,Best Meeting Point,61,Hard,"Array, Math, Sorting, Matrix"
297,Serialize and Deserialize Binary Tree,56.8,Hard,"String, Tree, Depth-First Search, Breadth-First Search, Design, Binary Tree"
298,Binary Tree Longest Consecutive Sequence,53.5,Medium,"Tree, Depth-First Search, Binary Tree"
299,Bulls and Cows,50.3,Medium,"Hash Table, String, Counting"
300,Longest Increasing Subsequence,55.4,Medium,"Array, Binary Search, Dynamic Programming"
301,Remove Invalid Parentheses,48.3,Hard,"String, Backtracking, Breadth-First Search"
302,Smallest Rectangle Enclosing Black Pixels,59,Hard,"Array, Binary Search, Depth-First Search, Breadth-First Search, Matrix"
303,Range Sum Query - Immutable,63.5,Easy,"Array, Design, Prefix Sum"
304,Range Sum Query 2D - Immutable,54.7,Medium,"Array, Design, Matrix, Prefix Sum"
305,Number of Islands II,39.9,Hard,"Array, Union Find"
306,Additive Number,31.6,Medium,"String, Backtracking"
307,Range Sum Query - Mutable,41,Medium,"Array, Design, Binary Indexed Tree, Segment Tree"
308,Range Sum Query 2D - Mutable,44.1,Hard,"Array, Design, Binary Indexed Tree, Segment Tree, Matrix"
309,Best Time to Buy and Sell Stock with Cooldown,58.2,Medium,"Array, Dynamic Programming"
310,Minimum Height Trees,41.8,Medium,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
311,Sparse Matrix Multiplication,68.1,Medium,"Array, Hash Table, Matrix"
312,Burst Balloons,58.9,Hard,"Array, Dynamic Programming"
313,Super Ugly Number,45.2,Medium,"Array, Math, Dynamic Programming"
314,Binary Tree Vertical Order Traversal,54.5,Medium,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Binary Tree"
315,Count of Smaller Numbers After Self,42.4,Hard,"Array, Binary Search, Divide and Conquer, Binary Indexed Tree, Segment Tree, Merge Sort, Ordered Set"
316,Remove Duplicate Letters,49.7,Medium,"String, Stack, Greedy, Monotonic Stack"
317,Shortest Distance from All Buildings,43.2,Hard,"Array, Breadth-First Search, Matrix"
318,Maximum Product of Word Lengths,60,Medium,"Array, String, Bit Manipulation"
319,Bulb Switcher,52.8,Medium,"Math, Brainteaser"
320,Generalized Abbreviation,58.4,Medium,"String, Backtracking, Bit Manipulation"
321,Create Maximum Number,30.2,Hard,"Stack, Greedy, Monotonic Stack"
322,Coin Change,44,Medium,"Array, Dynamic Programming, Breadth-First Search"
323,Number of Connected Components in an Undirected Graph,62.8,Medium,"Depth-First Search, Breadth-First Search, Union Find, Graph"
324,Wiggle Sort II,34.4,Medium,"Array, Divide and Conquer, Sorting, Quickselect"
325,Maximum Size Subarray Sum Equals k,49.5,Medium,"Array, Hash Table"
326,Power of Three,46.6,Easy,"Math, Recursion"
327,Count of Range Sum,35.9,Hard,"Array, Binary Search, Divide and Conquer, Binary Indexed Tree, Segment Tree, Merge Sort, Ordered Set"
328,Odd Even Linked List,61.4,Medium,Linked List
329,Longest Increasing Path in a Matrix,53.7,Hard,"Dynamic Programming, Depth-First Search, Breadth-First Search, Graph, Topological Sort, Memoization"
330,Patching Array,41.9,Hard,"Array, Greedy"
331,Verify Preorder Serialization of a Binary Tree,45.2,Medium,"String, Stack, Tree, Binary Tree"
332,Reconstruct Itinerary,43.2,Hard,"Depth-First Search, Graph, Eulerian Circuit"
333,Largest BST Subtree,43.9,Medium,"Dynamic Programming, Tree, Depth-First Search, Binary Search Tree, Binary Tree"
334,Increasing Triplet Subsequence,39.8,Medium,"Array, Greedy"
335,Self Crossing,30.5,Hard,"Array, Math, Geometry"
336,Palindrome Pairs,35.4,Hard,"Array, Hash Table, String, Trie"
337,House Robber III,54.3,Medium,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
338,Counting Bits,78.3,Easy,"Dynamic Programming, Bit Manipulation"
339,Nested List Weight Sum,83.7,Medium,"Depth-First Search, Breadth-First Search"
340,Longest Substring with At Most K Distinct Characters,48.8,Medium,"Hash Table, String, Sliding Window"
341,Flatten Nested List Iterator,64.5,Medium,"Stack, Tree, Depth-First Search, Design, Queue, Iterator"
342,Power of Four,48,Easy,"Math, Bit Manipulation, Recursion"
343,Integer Break,60.4,Medium,"Math, Dynamic Programming"
344,Reverse String,77.9,Easy,"Two Pointers, String, Recursion"
345,Reverse Vowels of a String,53.2,Easy,"Two Pointers, String"
346,Moving Average from Data Stream,78.4,Easy,"Array, Design, Queue, Data Stream"
347,Top K Frequent Elements,62.8,Medium,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
348,Design Tic-Tac-Toe,58,Medium,"Array, Hash Table, Design, Matrix"
349,Intersection of Two Arrays,74.5,Easy,"Array, Hash Table, Two Pointers, Binary Search, Sorting"
350,Intersection of Two Arrays II,56.5,Easy,"Array, Hash Table, Two Pointers, Binary Search, Sorting"
351,Android Unlock Patterns,51.8,Medium,"Dynamic Programming, Backtracking"
352,Data Stream as Disjoint Intervals,60,Hard,"Binary Search, Design, Ordered Set"
353,Design Snake Game,38.8,Medium,"Array, Design, Queue, Matrix"
354,Russian Doll Envelopes,37.1,Hard,"Array, Binary Search, Dynamic Programming, Sorting"
355,Design Twitter,39.5,Medium,"Hash Table, Linked List, Design, Heap (Priority Queue)"
356,Line Reflection,35.6,Medium,"Array, Hash Table, Math"
357,Count Numbers with Unique Digits,53,Medium,"Math, Dynamic Programming, Backtracking"
358,Rearrange String k Distance Apart,38.7,Hard,"Hash Table, String, Greedy, Sorting, Heap (Priority Queue), Counting"
359,Logger Rate Limiter,75.9,Easy,"Hash Table, Design"
360,Sort Transformed Array,55.8,Medium,"Array, Math, Two Pointers, Sorting"
361,Bomb Enemy,51.8,Medium,"Array, Dynamic Programming, Matrix"
362,Design Hit Counter,68.7,Medium,"Array, Hash Table, Binary Search, Design, Queue"
363,Max Sum of Rectangle No Larger Than K,44.1,Hard,"Array, Binary Search, Dynamic Programming, Matrix, Ordered Set"
